-9.961516, 0.496477
-9.954966, -0.772810
-9.803823, -1.856049
-9.192583, -3.700559
-9.015474, -4.231034
-7.874365, -6.143564
-7.822733, -6.218126
-7.197111, -6.887032
-6.347682, -7.703927
-5.397974, -8.411657
-4.373182, -8.941461
-4.086724, -9.075303
-4.012064, -9.102714
-2.544928, -9.586304
-1.428349, -9.890130
0.010102, -9.998093
2.193232, -9.609502
3.205023, -9.382891
3.753880, -9.170540
4.612651, -8.809320
5.837999, -8.098785
6.425368, -7.661256
7.373718, -6.747712
8.275989, -5.589799
8.913449, -4.489109
9.244924, -3.803282
9.444734, -3.179272
9.800596, -1.827896
9.826930, -1.519112
9.851688, 0.222096
9.797745, 1.118829
9.608142, 2.626440
9.307168, 3.626935
8.506859, 5.025728
7.307745, 6.766489
6.605503, 7.412283
6.067758, 7.849357
5.394010, 8.310033
4.054063, 9.126460
3.062322, 9.514799
2.400645, 9.677252
1.248805, 9.902076
0.111448, 9.942582
-1.944438, 9.771243
-2.690720, 9.629663
-3.628918, 9.317325
-5.276192, 8.476432
-6.857919, 7.267701
-6.951614, 7.175406
-8.292212, 5.457855
-9.154431, 3.726237
-9.552969, 2.894055
-9.681886, 2.501701
-9.929077, 1.146558
